id,브랜드,차종,연식,세부모델,category,name,price
1,BMW,5 Series,2022,530i,engine,엔진오일 교환 (기본 합성유),150000
2,BMW,5 Series,2022,530i,engine,엔진 플러싱 및 첨가제,80000
3,BMW,5 Series,2022,530i,brake,앞 브레이크 패드 교환,120000
4,BMW,5 Series,2022,530i,brake,뒤 브레이크 패드/센서 교환,140000
5,BMW,5 Series,2022,530i,brake,브레이크 오일 1:1 교환,90000
6,BMW,5 Series,2022,530i,transmission,미션오일 교환 패키지,350000
7,BMW,5 Series,2022,530i,filter,실내 에어컨/히터 필터,50000
8,BMW,5 Series,2022,530i,battery,배터리 교체 (수입차전용),220000
9,BMW,5 Series,2022,530i,inspection,기본 무상 점검 (이벤트),0
10,벤츠,E-Class,2020,E 300,engine,엔진오일 교환 (기본 합성유),180000
11,벤츠,E-Class,2020,E 300,engine,엔진 플러싱 및 첨가제,110000
12,벤츠,E-Class,2020,E 300,brake,앞 브레이크 패드 교환,150000
13,벤츠,E-Class,2020,E 300,brake,뒤 브레이크 패드/센서 교환,170000
14,벤츠,E-Class,2020,E 300,brake,브레이크 오일 1:1 교환,120000
15,벤츠,E-Class,2020,E 300,transmission,미션오일 교환 패키지,380000
16,벤츠,E-Class,2020,E 300,filter,실내 에어컨/히터 필터,80000
17,벤츠,E-Class,2020,E 300,battery,배터리 교체 (수입차전용),250000
18,벤츠,E-Class,2020,E 300,inspection,기본 무상 점검 (이벤트),30000
19,벤츠,A-Class,2026,기본형,engine,엔진오일 교환 (기본 합성유),150000
20,벤츠,A-Class,2026,기본형,engine,엔진 플러싱 및 첨가제,80000
21,벤츠,A-Class,2026,기본형,brake,앞 브레이크 패드 교환,120000
22,벤츠,A-Class,2026,기본형,brake,뒤 브레이크 패드/센서 교환,140000
23,벤츠,A-Class,2026,기본형,brake,브레이크 오일 1:1 교환,90000
24,벤츠,A-Class,2026,기본형,transmission,미션오일 교환 패키지,350000
25,벤츠,A-Class,2026,기본형,filter,실내 에어컨/히터 필터,50000
26,벤츠,A-Class,2026,기본형,battery,배터리 교체 (수입차전용),220000
27,벤츠,A-Class,2026,기본형,inspection,기본 무상 점검 (이벤트),0
28,벤츠,A-Class,2026,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
29,벤츠,A-Class,2026,프리미엄,engine,엔진 플러싱 및 첨가제,80000
30,벤츠,A-Class,2026,프리미엄,brake,앞 브레이크 패드 교환,120000
31,벤츠,A-Class,2026,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
32,벤츠,A-Class,2026,프리미엄,brake,브레이크 오일 1:1 교환,90000
33,벤츠,A-Class,2026,프리미엄,transmission,미션오일 교환 패키지,350000
34,벤츠,A-Class,2026,프리미엄,filter,실내 에어컨/히터 필터,50000
35,벤츠,A-Class,2026,프리미엄,battery,배터리 교체 (수입차전용),220000
36,벤츠,A-Class,2026,프리미엄,inspection,기본 무상 점검 (이벤트),0
37,벤츠,A-Class,2026,스포츠,engine,엔진오일 교환 (기본 합성유),150000
38,벤츠,A-Class,2026,스포츠,engine,엔진 플러싱 및 첨가제,80000
39,벤츠,A-Class,2026,스포츠,brake,앞 브레이크 패드 교환,120000
40,벤츠,A-Class,2026,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
41,벤츠,A-Class,2026,스포츠,brake,브레이크 오일 1:1 교환,90000
42,벤츠,A-Class,2026,스포츠,transmission,미션오일 교환 패키지,350000
43,벤츠,A-Class,2026,스포츠,filter,실내 에어컨/히터 필터,50000
44,벤츠,A-Class,2026,스포츠,battery,배터리 교체 (수입차전용),220000
45,벤츠,A-Class,2026,스포츠,inspection,기본 무상 점검 (이벤트),0
46,벤츠,A-Class,2025,기본형,engine,엔진오일 교환 (기본 합성유),150000
47,벤츠,A-Class,2025,기본형,engine,엔진 플러싱 및 첨가제,80000
48,벤츠,A-Class,2025,기본형,brake,앞 브레이크 패드 교환,120000
49,벤츠,A-Class,2025,기본형,brake,뒤 브레이크 패드/센서 교환,140000
50,벤츠,A-Class,2025,기본형,brake,브레이크 오일 1:1 교환,90000
51,벤츠,A-Class,2025,기본형,transmission,미션오일 교환 패키지,350000
52,벤츠,A-Class,2025,기본형,filter,실내 에어컨/히터 필터,50000
