id,브랜드,차종,연식,세부모델,category,name,price
1,BMW,5 Series,2022,530i,engine,엔진오일 교환 (기본 합성유),150000
2,BMW,5 Series,2022,530i,engine,엔진 플러싱 및 첨가제,80000
3,BMW,5 Series,2022,530i,brake,앞 브레이크 패드 교환,120000
4,BMW,5 Series,2022,530i,brake,뒤 브레이크 패드/센서 교환,140000
5,BMW,5 Series,2022,530i,brake,브레이크 오일 1:1 교환,90000
6,BMW,5 Series,2022,530i,transmission,미션오일 교환 패키지,350000
7,BMW,5 Series,2022,530i,filter,실내 에어컨/히터 필터,50000
8,BMW,5 Series,2022,530i,battery,배터리 교체 (수입차전용),220000
9,BMW,5 Series,2022,530i,inspection,기본 무상 점검 (이벤트),0
10,벤츠,E-Class,2020,E 300,engine,엔진오일 교환 (기본 합성유),180000
11,벤츠,E-Class,2020,E 300,engine,엔진 플러싱 및 첨가제,110000
12,벤츠,E-Class,2020,E 300,brake,앞 브레이크 패드 교환,150000
13,벤츠,E-Class,2020,E 300,brake,뒤 브레이크 패드/센서 교환,170000
14,벤츠,E-Class,2020,E 300,brake,브레이크 오일 1:1 교환,120000
15,벤츠,E-Class,2020,E 300,transmission,미션오일 교환 패키지,380000
16,벤츠,E-Class,2020,E 300,filter,실내 에어컨/히터 필터,80000
17,벤츠,E-Class,2020,E 300,battery,배터리 교체 (수입차전용),250000
18,벤츠,E-Class,2020,E 300,inspection,기본 무상 점검 (이벤트),30000
